page1,page2,page3,page4,page5,page6,page7,page8
sports,,,,,,,
frontpage,frontpage,weather,frontpage,living,living,living,living
bbs,bbs,bbs,,,,,
tech,tech,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,,
sports,,,,,,,
news,,,,,,,
news,,,,,,,
news,,,,,,,
bbs,bbs,bbs,bbs,,,,
frontpage,on_air,frontpage,on_air,,,,
frontpage,frontpage,news,,,,,
frontpage,,,,,,,
frontpage,on_air,on_air,news,local,news,frontpage,on_air
frontpage,,,,,,,
frontpage,,,,,,,
frontpage,frontpage,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
sports,,,,,,,
frontpage,,,,,,,
local,news,,,,,,
frontpage,sports,,,,,,
frontpage,frontpage,frontpage,bbs,sports,sports,,
tech,health,,,,,,
weather,,,,,,,
bbs,,,,,,,
on_air,on_air,mich,mich,mich,on_air,on_air,mich
frontpage,frontpage,mich,mich,frontpage,frontpage,,
frontpage,,,,,,,
frontpage,bbs,,,,,,
weather,,,,,,,
frontpage,news,frontpage,living,living,business,,
local,health,health,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,
sports,health,,,,,,
bbs,bbs,bbs,,,,,
sports,,,,,,,
business,on_air,,,,,,
frontpage,,,,,,,
weather,weather,weather,weather,weather,,,
frontpage,frontpage,sports,frontpage,,,,
msn,,,,,,,
local,,,,,,,
business,business,business,business,business,,,
news,,,,,,,
news,news,news,on_air,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
news,,,,,,,
summary,summary,summary,summary,summary,summary,summary,summary
news,,,,,,,
frontpage,frontpage,,,,,,
frontpage,on_air,on_air,on_air,news,news,news,news
tech,,,,,,,
bbs,bbs,bbs,,,,,
opinion,frontpage,frontpage,news,news,news,news,news
sports,health,sports,sports,health,,,
tech,tech,,,,,,
frontpage,bbs,bbs,,,,,
frontpage,business,frontpage,frontpage,news,news,travel,living
weather,,,,,,,
weather,weather,news,weather,weather,weather,weather,weather
on_air,tech,,,,,,
summary,summary,summary,,,,,
on_air,,,,,,,
health,,,,,,,
weather,,,,,,,
local,local,bbs,summary,,,,
local,weather,weather,weather,weather,weather,weather,weather
local,local,local,local,local,local,local,local
summary,,,,,,,
frontpage,local,local,local,,,,
frontpage,frontpage,news,news,news,news,sports,sports
tech,,,,,,,
frontpage,living,sports,frontpage,,,,
on_air,,,,,,,
on_air,,,,,,,
frontpage,mich,mich,frontpage,,,,
tech,,,,,,,
weather,weather,weather,weather,weather,on_air,local,on_air
news,,,,,,,
frontpage,sports,sports,frontpage,news,news,news,news
frontpage,news,,,,,,
local,local,local,local,local,local,local,sports
weather,weather,weather,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
local,local,opinion,opinion,opinion,opinion,opinion,opinion
weather,weather,bbs,bbs,,,,
on_air,travel,on_air,,,,,
weather,weather,weather,,,,,
on_air,local,local,tech,frontpage,bbs,summary,local
local,,,,,,,
weather,weather,weather,weather,weather,weather,weather,
frontpage,frontpage,,,,,,
health,,,,,,,
news,news,news,news,,,,
health,,,,,,,
bbs,,,,,,,
health,,,,,,,
on_air,on_air,,,,,,
frontpage,business,,,,,,
on_air,,,,,,,
on_air,local,health,local,local,local,,
summary,bbs,bbs,summary,summary,summary,summary,summary
frontpage,news,news,news,news,news,news,frontpage
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
health,local,,,,,,
summary,summary,summary,,,,,
summary,summary,summary,,,,,
on_air,,,,,,,
summary,summary,bbs,bbs,bbs,bbs,bbs,bbs
on_air,,,,,,,
summary,summary,summary,summary,summary,summary,summary,summary
sports,summary,bbs,bbs,bbs,bbs,bbs,bbs
health,health,health,tech,health,,,
local,health,,,,,,
tech,,,,,,,
health,health,opinion,on_air,bbs,bbs,bbs,bbs
sports,,,,,,,
on_air,,,,,,,
summary,,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
on_air,weather,weather,weather,weather,weather,weather,weather
bbs,,,,,,,
health,mich,health,,,,,
frontpage,,,,,,,
news,,,,,,,
bbs,,,,,,,
news,,,,,,,
frontpage,frontpage,news,news,news,news,news,news
news,,,,,,,
frontpage,frontpage,bbs,frontpage,frontpage,frontpage,frontpage,
frontpage,mich,local,mich,local,local,local,local
living,,,,,,,
frontpage,bbs,bbs,frontpage,news,news,,
on_air,on_air,,,,,,
frontpage,local,local,local,local,business,frontpage,frontpage
frontpage,tech,tech,tech,tech,frontpage,frontpage,
frontpage,frontpage,,,,,,
tech,local,,,,,,
local,local,,,,,,
frontpage,frontpage,,,,,,
frontpage,frontpage,frontpage,frontpage,,,,
frontpage,frontpage,frontpage,frontpage,,,,
bbs,bbs,bbs,,,,,
living,frontpage,tech,bbs,bbs,bbs,bbs,bbs
on_air,on_air,on_air,on_air,on_air,on_air,on_air,on_air
frontpage,frontpage,mich,mich,frontpage,,,
tech,local,,,,,,
on_air,,,,,,,
news,,,,,,,
on_air,mich,mich,mich,on_air,travel,mich,on_air
bbs,weather,weather,,,,,
frontpage,frontpage,frontpage,frontpage,,,,
sports,health,,,,,,
on_air,,,,,,,
frontpage,,,,,,,
health,,,,,,,
on_air,,,,,,,
local,,,,,,,
frontpage,,,,,,,
news,news,,,,,,
on_air,,,,,,,
bbs,,,,,,,
on_air,mich,mich,mich,on_air,,,
on_air,on_air,mich,mich,mich,mich,,
frontpage,frontpage,,,,,,
bbs,frontpage,bbs,,,,,
tech,,,,,,,
local,,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
bbs,,,,,,,
tech,,,,,,,
on_air,mich,mich,mich,mich,mich,mich,mich
on_air,,,,,,,
weather,,,,,,,
news,tech,,,,,,
on_air,health,health,health,,,,
summary,summary,,,,,,
tech,,,,,,,
frontpage,tech,tech,frontpage,,,,
opinion,opinion,opinion,news,,,,
summary,,,,,,,
on_air,,,,,,,
summary,summary,summary,summary,summary,summary,summary,
on_air,,,,,,,
bbs,,,,,,,
health,opinion,tech,tech,tech,on_air,on_air,on_air
summary,summary,,,,,,
on_air,,,,,,,
sports,,,,,,,
sports,on_air,tech,,,,,
on_air,weather,weather,weather,weather,weather,weather,
tech,,,,,,,
frontpage,sports,frontpage,,,,,
frontpage,news,news,news,news,news,,
frontpage,frontpage,,,,,,
on_air,on_air,mich,mich,mich,on_air,mich,on_air
opinion,sports,sports,sports,sports,opinion,opinion,opinion
on_air,weather,weather,weather,weather,weather,weather,weather
sports,sports,sports,,,,,
bbs,bbs,,,,,,
summary,mich,summary,summary,,,,
summary,,,,,,,
sports,,,,,,,
weather,weather,weather,weather,weather,,,
local,local,,,,,,
on_air,,,,,,,
sports,sports,,,,,,
weather,,,,,,,
on_air,,,,,,,
frontpage,business,sports,,,,,
news,,,,,,,
news,,,,,,,
frontpage,tech,living,frontpage,frontpage,news,news,living
frontpage,news,frontpage,,,,,
weather,weather,mich,local,local,local,local,local
living,living,,,,,,
local,,,,,,,
frontpage,sports,sports,sports,,,,
summary,summary,,,,,,
sports,,,,,,,
frontpage,summary,mich,summary,summary,summary,frontpage,
health,health,health,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
local,,,,,,,
sports,bbs,bbs,bbs,,,,
tech,tech,tech,,,,,
frontpage,news,news,frontpage,news,news,news,
sports,sports,,,,,,
frontpage,news,news,living,tech,,,
on_air,,,,,,,
travel,travel,travel,travel,travel,travel,travel,travel
frontpage,frontpage,frontpage,mich,mich,mich,frontpage,frontpage
local,,,,,,,
frontpage,tech,,,,,,
news,,,,,,,
local,,,,,,,
frontpage,business,frontpage,tech,frontpage,tech,tech,tech
on_air,,,,,,,
frontpage,news,news,frontpage,bbs,frontpage,,
bbs,bbs,frontpage,bbs,bbs,bbs,bbs,bbs
living,living,,,,,,
frontpage,msn,living,bbs,bbs,bbs,,
frontpage,,,,,,,
frontpage,,,,,,,
on_air,,,,,,,
tech,tech,tech,tech,,,,
local,,,,,,,
on_air,,,,,,,
frontpage,frontpage,frontpage,,,,,
local,,,,,,,
on_air,on_air,,,,,,
living,,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
on_air,on_air,on_air,on_air,on_air,,,
on_air,,,,,,,
frontpage,on_air,on_air,mich,mich,mich,on_air,mich
bbs,,,,,,,
frontpage,frontpage,frontpage,sports,sports,mich,mich,mich
on_air,,,,,,,
frontpage,news,frontpage,frontpage,bbs,bbs,bbs,frontpage
news,news,,,,,,
health,health,health,health,local,health,,
on_air,,,,,,,
on_air,,,,,,,
frontpage,frontpage,frontpage,frontpage,,,,
news,news,news,,,,,
bbs,bbs,bbs,bbs,bbs,,,
health,health,,,,,,
frontpage,news,,,,,,
frontpage,business,frontpage,sports,living,,,
on_air,,,,,,,
summary,,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,frontpage
sports,,,,,,,
frontpage,frontpage,local,frontpage,frontpage,,,
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
frontpage,business,frontpage,sports,,,,
summary,,,,,,,
tech,business,,,,,,
weather,weather,news,weather,,,,
on_air,,,,,,,
on_air,,,,,,,
on_air,on_air,on_air,,,,,
on_air,,,,,,,
summary,mich,summary,local,mich,local,business,bbs
frontpage,tech,tech,tech,tech,,,
sports,living,,,,,,
summary,summary,summary,summary,business,,,
frontpage,travel,business,bbs,bbs,bbs,,
local,,,,,,,
sports,,,,,,,
health,health,tech,,,,,
local,,,,,,,
summary,summary,summary,summary,,,,
bbs,bbs,bbs,bbs,,,,
on_air,,,,,,,
frontpage,frontpage,business,business,business,,,
summary,summary,summary,bbs,on_air,on_air,on_air,
summary,bbs,bbs,summary,summary,summary,summary,
on_air,,,,,,,
bbs,bbs,,,,,,
on_air,,,,,,,
summary,summary,summary,,,,,
tech,tech,tech,news,news,news,news,
on_air,on_air,travel,on_air,on_air,,,
on_air,travel,on_air,travel,opinion,travel,opinion,travel
frontpage,frontpage,,,,,,
business,,,,,,,
health,health,health,local,weather,weather,health,local
frontpage,frontpage,on_air,,,,,
frontpage,news,news,news,news,frontpage,news,news
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
local,,,,,,,
frontpage,,,,,,,
on_air,,,,,,,
summary,,,,,,,
on_air,health,,,,,,
on_air,on_air,,,,,,
on_air,,,,,,,
travel,,,,,,,
on_air,on_air,,,,,,
on_air,on_air,on_air,,,,,
on_air,local,local,frontpage,frontpage,living,frontpage,local
on_air,,,,,,,
summary,,,,,,,
tech,tech,,,,,,
on_air,bbs,frontpage,mich,mich,frontpage,bbs,bbs
frontpage,frontpage,frontpage,frontpage,frontpage,living,,
tech,,,,,,,
on_air,,,,,,,
weather,weather,weather,,,,,
summary,,,,,,,
local,,,,,,,
on_air,,,,,,,
summary,frontpage,,,,,,
on_air,,,,,,,
frontpage,frontpage,frontpage,,,,,
on_air,health,,,,,,
on_air,,,,,,,
on_air,,,,,,,
news,news,tech,news,news,,,
bbs,bbs,bbs,bbs,,,,
health,sports,,,,,,
local,local,local,,,,,
tech,,,,,,,
summary,,,,,,,
on_air,,,,,,,
on_air,tech,tech,,,,,
frontpage,tech,frontpage,business,frontpage,news,news,local
travel,travel,travel,travel,travel,,,
bbs,summary,,,,,,
summary,,,,,,,
local,local,local,,,,,
health,health,,,,,,
summary,summary,summary,,,,,
summary,summary,summary,,,,,
frontpage,news,,,,,,
frontpage,tech,frontpage,opinion,opinion,opinion,opinion,news
weather,weather,weather,weather,weather,,,
tech,,,,,,,
bbs,,,,,,,
on_air,,,,,,,
on_air,on_air,on_air,on_air,mich,on_air,mich,mich
on_air,,,,,,,
on_air,health,opinion,opinion,opinion,opinion,opinion,
frontpage,bbs,frontpage,,,,,
on_air,on_air,,,,,,
frontpage,news,,,,,,
frontpage,frontpage,,,,,,
local,,,,,,,
news,news,living,,,,,
frontpage,on_air,on_air,frontpage,,,,
tech,,,,,,,
news,news,,,,,,
sports,,,,,,,
on_air,,,,,,,
bbs,,,,,,,
on_air,,,,,,,
frontpage,news,news,news,news,news,frontpage,sports
on_air,,,,,,,
bbs,bbs,bbs,bbs,bbs,,,
tech,,,,,,,
sports,sports,sports,sports,local,news,business,
frontpage,business,opinion,bbs,bbs,bbs,bbs,bbs
sports,,,,,,,
weather,weather,weather,weather,,,,
summary,summary,summary,summary,summary,summary,summary,
weather,,,,,,,
on_air,,,,,,,
on_air,,,,,,,
summary,summary,,,,,,
frontpage,bbs,bbs,frontpage,tech,news,tech,frontpage
health,health,health,summary,summary,health,summary,summary
frontpage,on_air,,,,,,
bbs,,,,,,,
summary,summary,,,,,,
frontpage,frontpage,mich,on_air,on_air,frontpage,tech,tech
health,,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
bbs,bbs,bbs,bbs,bbs,,,
tech,,,,,,,
news,tech,,,,,,
frontpage,frontpage,frontpage,living,frontpage,frontpage,frontpage,frontpage
news,business,business,,,,,
sports,msn,,,,,,
frontpage,frontpage,news,frontpage,,,,
on_air,on_air,,,,,,
opinion,opinion,opinion,opinion,opinion,opinion,opinion,opinion
frontpage,,,,,,,
on_air,,,,,,,
business,,,,,,,
frontpage,sports,frontpage,frontpage,,,,
sports,sports,health,,,,,
frontpage,living,frontpage,business,frontpage,on_air,frontpage,on_air
frontpage,frontpage,frontpage,frontpage,,,,
frontpage,frontpage,frontpage,business,sports,frontpage,frontpage,frontpage
on_air,,,,,,,
local,local,local,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,weather,news,
on_air,travel,on_air,,,,,
on_air,travel,,,,,,
weather,,,,,,,
tech,,,,,,,
frontpage,frontpage,news,news,news,mich,local,frontpage
frontpage,news,,,,,,
frontpage,on_air,living,living,,,,
frontpage,,,,,,,
health,,,,,,,
on_air,,,,,,,
health,,,,,,,
news,news,,,,,,
news,,,,,,,
sports,,,,,,,
frontpage,,,,,,,
health,health,,,,,,
tech,tech,tech,tech,tech,tech,tech,tech
business,local,frontpage,,,,,
local,,,,,,,
travel,travel,travel,opinion,sports,travel,living,news
on_air,news,,,,,,
weather,,,,,,,
frontpage,frontpage,sports,sports,sports,frontpage,sports,frontpage
on_air,mich,mich,mich,on_air,travel,frontpage,on_air
health,summary,summary,summary,summary,,,
sports,news,news,tech,,,,
weather,weather,weather,weather,weather,weather,weather,weather
health,health,,,,,,
on_air,on_air,mich,mich,mich,mich,news,news
frontpage,weather,weather,weather,weather,weather,,
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
local,bbs,bbs,bbs,bbs,bbs,bbs,bbs
health,local,,,,,,
sports,bbs,sports,bbs,bbs,bbs,bbs,bbs
frontpage,tech,frontpage,frontpage,,,,
news,,,,,,,
frontpage,news,news,business,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,,,
on_air,,,,,,,
frontpage,frontpage,frontpage,on_air,mich,mich,mich,mich
health,health,summary,,,,,
sports,,,,,,,
sports,,,,,,,
news,,,,,,,
on_air,on_air,on_air,on_air,,,,
on_air,,,,,,,
frontpage,bbs,bbs,,,,,
bbs,news,bbs,bbs,bbs,news,bbs,news
on_air,health,opinion,,,,,
frontpage,,,,,,,
frontpage,frontpage,frontpage,,,,,
frontpage,business,frontpage,news,news,frontpage,news,news
news,sports,,,,,,
news,news,news,news,bbs,local,frontpage,frontpage
frontpage,frontpage,frontpage,mich,mich,frontpage,,
mich,mich,mich,mich,mich,,,
on_air,summary,,,,,,
news,,,,,,,
on_air,,,,,,,
frontpage,frontpage,business,frontpage,frontpage,frontpage,,
sports,,,,,,,
frontpage,business,sports,sports,frontpage,frontpage,frontpage,sports
on_air,,,,,,,
bbs,bbs,,,,,,
on_air,mich,mich,mich,mich,mich,mich,mich
on_air,,,,,,,
frontpage,weather,weather,news,weather,,,
on_air,local,local,sports,,,,
frontpage,,,,,,,
mich,frontpage,,,,,,
frontpage,,,,,,,
weather,weather,weather,weather,weather,weather,weather,
on_air,,,,,,,
sports,,,,,,,
frontpage,mich,mich,frontpage,mich,mich,frontpage,
sports,sports,bbs,bbs,bbs,bbs,bbs,
tech,,,,,,,
news,news,on_air,on_air,,,,
on_air,,,,,,,
weather,summary,summary,summary,summary,summary,,
on_air,health,,,,,,
bbs,,,,,,,
local,,,,,,,
sports,,,,,,,
local,,,,,,,
bbs,,,,,,,
frontpage,frontpage,opinion,opinion,opinion,opinion,opinion,opinion
frontpage,news,news,frontpage,on_air,on_air,,
summary,,,,,,,
on_air,,,,,,,
local,local,,,,,,
health,weather,weather,weather,weather,weather,,
sports,sports,,,,,,
health,news,news,news,,,,
weather,,,,,,,
on_air,,,,,,,
on_air,weather,,,,,,
bbs,,,,,,,
summary,mich,summary,summary,frontpage,summary,frontpage,
on_air,,,,,,,
on_air,bbs,bbs,,,,,
on_air,,,,,,,
frontpage,,,,,,,
tech,,,,,,,
sports,local,,,,,,
summary,summary,summary,summary,,,,
summary,summary,summary,bbs,summary,summary,summary,
health,on_air,news,news,news,news,news,health
frontpage,tech,tech,tech,tech,tech,tech,frontpage
on_air,on_air,,,,,,
on_air,,,,,,,
weather,weather,weather,weather,weather,weather,weather,
summary,summary,,,,,,
sports,,,,,,,
on_air,,,,,,,
on_air,on_air,travel,business,business,business,business,business
on_air,tech,,,,,,
summary,summary,,,,,,
bbs,bbs,summary,summary,summary,summary,bbs,summary
on_air,bbs,bbs,bbs,bbs,bbs,bbs,bbs
living,frontpage,living,living,living,frontpage,living,living
on_air,on_air,on_air,on_air,,,,
on_air,travel,news,,,,,
bbs,bbs,bbs,bbs,,,,
local,,,,,,,
weather,,,,,,,
on_air,on_air,on_air,on_air,on_air,,,
bbs,bbs,,,,,,
health,health,,,,,,
frontpage,news,news,,,,,
on_air,on_air,on_air,on_air,on_air,on_air,on_air,
weather,weather,weather,weather,weather,weather,weather,weather
tech,,,,,,,
on_air,,,,,,,
on_air,,,,,,,
on_air,,,,,,,
health,mich,health,living,health,health,health,
news,,,,,,,
frontpage,frontpage,frontpage,,,,,
sports,,,,,,,
local,,,,,,,
on_air,mich,mich,mich,on_air,on_air,mich,on_air
on_air,weather,,,,,,
on_air,,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
weather,,,,,,,
health,summary,summary,summary,,,,
frontpage,mich,mich,mich,mich,on_air,on_air,on_air
health,sports,,,,,,
health,,,,,,,
frontpage,frontpage,local,frontpage,local,frontpage,bbs,bbs
weather,weather,weather,weather,weather,,,
health,health,health,health,health,health,health,health
sports,,,,,,,
on_air,,,,,,,
on_air,,,,,,,
weather,,,,,,,
on_air,,,,,,,
bbs,summary,weather,weather,sports,health,,
opinion,opinion,opinion,opinion,opinion,,,
local,local,local,,,,,
local,local,,,,,,
frontpage,bbs,bbs,bbs,bbs,frontpage,sports,
health,frontpage,news,frontpage,,,,
health,health,local,health,health,health,health,health
on_air,on_air,mich,mich,mich,mich,business,business
mich,summary,summary,summary,summary,summary,summary,bbs
news,news,,,,,,
news,news,,,,,,
business,,,,,,,
sports,sports,sports,bbs,frontpage,sports,travel,news
local,local,business,sports,local,local,business,health
sports,,,,,,,
local,local,local,local,local,local,on_air,mich
local,,,,,,,
on_air,on_air,,,,,,
frontpage,,,,,,,
business,,,,,,,
sports,sports,sports,sports,sports,sports,sports,sports
bbs,sports,sports,sports,sports,sports,,
frontpage,frontpage,news,frontpage,frontpage,travel,frontpage,news
local,local,local,local,local,local,local,local
summary,summary,,,,,,
frontpage,,,,,,,
frontpage,,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,business,
sports,sports,sports,,,,,
bbs,bbs,,,,,,
summary,bbs,,,,,,
tech,travel,on_air,travel,living,travel,,
frontpage,frontpage,frontpage,on_air,on_air,on_air,,
news,news,,,,,,
frontpage,bbs,frontpage,business,living,,,
frontpage,frontpage,bbs,bbs,bbs,bbs,bbs,bbs
frontpage,business,frontpage,tech,tech,,,
news,news,news,news,,,,
local,local,local,local,local,local,local,local
frontpage,,,,,,,
frontpage,living,,,,,,
frontpage,frontpage,,,,,,
news,,,,,,,
local,local,local,local,local,local,local,local
frontpage,travel,news,news,frontpage,frontpage,,
msn,news,news,news,news,news,news,news
news,news,,,,,,
local,local,health,,,,,
health,sports,local,,,,,
on_air,,,,,,,
summary,,,,,,,
frontpage,sports,sports,news,news,news,,
bbs,,,,,,,
on_air,,,,,,,
frontpage,msn,living,tech,tech,tech,tech,tech
local,local,news,news,local,,,
health,mich,local,local,local,health,health,
on_air,,,,,,,
summary,summary,summary,sports,,,,
weather,weather,weather,weather,weather,weather,weather,
on_air,,,,,,,
on_air,,,,,,,
frontpage,news,frontpage,news,news,news,sports,
on_air,summary,,,,,,
on_air,,,,,,,
tech,tech,weather,weather,local,mich,mich,local
summary,,,,,,,
local,local,,,,,,
frontpage,bbs,living,tech,local,,,
on_air,on_air,on_air,on_air,on_air,on_air,mich,mich
on_air,,,,,,,
on_air,weather,weather,weather,weather,weather,weather,weather
on_air,on_air,frontpage,mich,news,frontpage,sports,frontpage
tech,sports,,,,,,
weather,,,,,,,
on_air,,,,,,,
on_air,on_air,on_air,mich,mich,mich,on_air,
local,local,health,,,,,
weather,weather,weather,,,,,
bbs,bbs,bbs,,,,,
on_air,,,,,,,
bbs,business,,,,,,
on_air,sports,,,,,,
frontpage,msn,business,,,,,
frontpage,news,opinion,frontpage,travel,opinion,frontpage,business
local,local,news,sports,,,,
bbs,bbs,,,,,,
on_air,on_air,,,,,,
frontpage,sports,sports,sports,sports,frontpage,on_air,frontpage
news,,,,,,,
on_air,on_air,frontpage,news,local,,,
on_air,health,on_air,,,,,
weather,tech,tech,tech,,,,
health,tech,tech,health,health,,,
frontpage,,,,,,,
sports,,,,,,,
frontpage,bbs,bbs,bbs,frontpage,news,news,on_air
news,sports,sports,,,,,
travel,,,,,,,
frontpage,mich,local,,,,,
on_air,,,,,,,
weather,,,,,,,
bbs,bbs,,,,,,
sports,bbs,bbs,bbs,,,,
on_air,,,,,,,
bbs,,,,,,,
sports,health,health,health,,,,
summary,mich,mich,summary,summary,bbs,,
frontpage,sports,sports,mich,local,sports,,
tech,,,,,,,
summary,summary,summary,summary,summary,summary,summary,
tech,,,,,,,
health,health,health,health,on_air,health,,
frontpage,sports,sports,frontpage,sports,frontpage,frontpage,sports
tech,,,,,,,
tech,,,,,,,
weather,weather,weather,weather,weather,,,
on_air,on_air,,,,,,
tech,,,,,,,
summary,summary,,,,,,
weather,weather,weather,weather,weather,weather,weather,weather
news,local,,,,,,
news,,,,,,,
health,on_air,mich,mich,mich,mich,health,
frontpage,frontpage,bbs,bbs,bbs,bbs,bbs,bbs
health,health,local,health,health,health,,
frontpage,business,frontpage,tech,frontpage,frontpage,frontpage,local
tech,tech,news,news,news,on_air,news,news
frontpage,tech,frontpage,,,,,
frontpage,frontpage,frontpage,sports,frontpage,news,frontpage,
news,,,,,,,
frontpage,,,,,,,
frontpage,mich,local,local,local,local,,
tech,business,,,,,,
tech,weather,weather,weather,weather,weather,weather,
frontpage,,,,,,,
bbs,bbs,weather,weather,weather,,,
news,,,,,,,
bbs,,,,,,,
weather,weather,,,,,,
sports,bbs,bbs,summary,,,,
local,local,,,,,,
summary,summary,bbs,summary,bbs,,,
bbs,bbs,bbs,bbs,bbs,bbs,bbs,bbs
local,,,,,,,
tech,tech,,,,,,
frontpage,,,,,,,
bbs,bbs,bbs,bbs,bbs,,,
sports,,,,,,,
weather,news,weather,,,,,
summary,summary,summary,,,,,
summary,summary,summary,summary,summary,summary,summary,summary
news,,,,,,,
tech,,,,,,,
summary,summary,summary,summary,bbs,bbs,bbs,
on_air,,,,,,,
living,living,bbs,bbs,,,,
summary,,,,,,,
frontpage,,,,,,,
tech,,,,,,,
tech,tech,on_air,,,,,
news,frontpage,frontpage,news,,,,
bbs,bbs,bbs,bbs,bbs,bbs,bbs,
frontpage,msn,business,frontpage,frontpage,frontpage,frontpage,frontpage
frontpage,frontpage,frontpage,bbs,frontpage,frontpage,bbs,
business,,,,,,,
frontpage,,,,,,,
frontpage,frontpage,,,,,,
frontpage,tech,frontpage,frontpage,tech,frontpage,news,frontpage
frontpage,mich,local,local,local,frontpage,,
on_air,,,,,,,
news,sports,sports,bbs,bbs,bbs,bbs,bbs
frontpage,,,,,,,
frontpage,tech,frontpage,news,news,news,opinion,news
frontpage,opinion,opinion,opinion,opinion,opinion,opinion,
bbs,,,,,,,
frontpage,,,,,,,
frontpage,opinion,frontpage,frontpage,,,,
sports,bbs,bbs,tech,,,,
on_air,mich,mich,mich,on_air,mich,on_air,
frontpage,news,frontpage,,,,,
frontpage,business,frontpage,frontpage,news,frontpage,news,news
news,news,weather,weather,living,,,
frontpage,frontpage,,,,,,
frontpage,frontpage,,,,,,
frontpage,frontpage,,,,,,
frontpage,frontpage,frontpage,news,frontpage,news,,
news,,,,,,,
frontpage,news,news,news,,,,
frontpage,bbs,bbs,bbs,,,,
news,news,,,,,,
bbs,bbs,bbs,,,,,
frontpage,frontpage,local,frontpage,,,,
frontpage,frontpage,frontpage,,,,,
news,news,,,,,,
frontpage,frontpage,frontpage,news,mich,news,mich,frontpage
on_air,,,,,,,
frontpage,frontpage,business,frontpage,local,frontpage,local,frontpage
news,,,,,,,
frontpage,frontpage,,,,,,
frontpage,frontpage,,,,,,
bbs,bbs,bbs,,,,,
frontpage,news,news,news,news,news,,
frontpage,frontpage,frontpage,,,,,
news,news,news,news,,,,
news,,,,,,,
frontpage,frontpage,mich,mich,,,,
frontpage,frontpage,frontpage,frontpage,,,,
frontpage,frontpage,,,,,,
sports,,,,,,,
frontpage,frontpage,business,bbs,bbs,,,
frontpage,frontpage,news,,,,,
business,business,business,frontpage,news,news,news,
news,news,news,mich,local,local,local,local
bbs,news,,,,,,
frontpage,,,,,,,
frontpage,frontpage,frontpage,bbs,frontpage,bbs,bbs,bbs
bbs,,,,,,,
frontpage,tech,tech,,,,,
sports,sports,mich,mich,mich,mich,mich,sports
local,local,local,,,,,
frontpage,news,travel,living,travel,on_air,travel,mich
news,,,,,,,
frontpage,frontpage,bbs,,,,,
frontpage,frontpage,,,,,,
frontpage,,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,frontpage,,
local,local,local,,,,,
msn,,,,,,,
frontpage,,,,,,,
on_air,local,,,,,,
on_air,,,,,,,
summary,summary,summary,summary,summary,,,
news,,,,,,,
health,health,frontpage,frontpage,frontpage,mich,mich,health
bbs,frontpage,frontpage,local,local,local,local,local
bbs,bbs,local,local,local,local,local,local
weather,,,,,,,
on_air,news,on_air,health,local,bbs,bbs,
local,local,,,,,,
tech,frontpage,frontpage,,,,,
frontpage,news,frontpage,news,frontpage,news,news,frontpage
on_air,local,,,,,,
weather,weather,mich,local,mich,local,weather,weather
travel,travel,travel,travel,travel,travel,travel,
weather,weather,weather,,,,,
health,,,,,,,
news,news,news,news,,,,
sports,sports,,,,,,
bbs,,,,,,,
frontpage,,,,,,,
frontpage,frontpage,bbs,bbs,bbs,frontpage,bbs,bbs
health,news,frontpage,news,local,news,frontpage,
health,,,,,,,
frontpage,frontpage,on_air,living,living,news,news,frontpage
frontpage,,,,,,,
frontpage,frontpage,frontpage,,,,,
news,news,,,,,,
frontpage,frontpage,frontpage,frontpage,frontpage,,,
local,local,on_air,local,,,,
news,local,news,mich,mich,mich,mich,mich
health,mich,health,weather,weather,mich,local,mich
on_air,,,,,,,
on_air,on_air,,,,,,
summary,summary,summary,bbs,bbs,bbs,bbs,bbs
on_air,news,sports,,,,,
on_air,,,,,,,
on_air,,,,,,,
on_air,,,,,,,
on_air,,,,,,,
frontpage,,,,,,,
local,news,news,,,,,
on_air,,,,,,,
frontpage,frontpage,,,,,,
health,health,mich,mich,frontpage,business,mich,mich
